"id","text","is_correct","question_id"
2267,Structured Query Language,1,581
2268,Simple Query Logic,0,581
2269,Sequential Query Language,0,581
2270,Standard Question List,0,581
2271,GET,0,582
2272,SELECT,1,582
2273,FETCH,0,582
2274,EXTRACT,0,582
2275,A column that may have duplicate values,0,583
2276,A column that uniquely identifies each row and cannot be NULL,1,583
2277,A table index,0,583
2278,A foreign key from another table,0,583
2279,INSERT,0,584
2280,UPDATE,0,584
2281,CREATE,1,584
2282,DELETE,0,584
2283,WHERE filters after grouping,0,585
2284,WHERE filters before aggregation,1,585
2285,Used only for INSERT,0,585
2286,No difference,0,585
2287,Same table unique key,0,586
2288,References primary key of another table,1,586
2289,Used for indexing,0,586
2290,Can be NULL,0,586
2291,INNER JOIN,0,587
2292,LEFT JOIN,0,587
2293,FULL JOIN,1,587
2294,RIGHT JOIN,0,587
2295,A table,0,588
2296,Always NULL column,0,588
2297,Structure that increases query performance,1,588
2298,Stored procedure,0,588
2299,Materialised table,0,589
2300,Virtual table defined by SELECT,1,589
2301,Single column table,0,589
2302,Backup table,0,589
2303,Adding NULLs,0,590
2304,Deleting all tables,0,590
2305,Malicious SQL inserted into queries,1,590
2306,Optimising indexes,0,590
2307,Same result,0,591
2308,Different ranking methods for ties,1,591
2309,Aggregate functions,0,591
2310,All skip ties,0,591
2311,SUM(),1,592
2312,COUNT(),1,592
2313,LENGTH(),0,592
2314,AVG(),1,592
2315,"Python, Java, C++",0,593
2316,"MySQL, PostgreSQL, SQL Server, SQLite",1,593
2317,"HTML, CSS, JS",0,593
2318,None,0,593
2319,Query inside another query,1,594
2320,Type of index,0,594
2321,Backup,0,594
2322,Procedure,0,594
2323,Stored outside DB,0,595
2324,Saved SQL code reusable,1,595
2325,Table for logins,0,595
2326,Non-updatable view,0,595
2327,Allow NULL,0,596
2328,Enforce condition,1,596
2329,Auto index,0,596
2330,Drop table,0,596
2331,CREATE TABLE,0,597
2332,DROP DB,0,597
2333,UPDATE,1,597
2334,GRANT,0,597
2335,ORDER BY,0,598
2336,GROUP BY,1,598
2337,WHERE,0,598
2338,HAVING,0,598
2339,DDL,1,599
2340,DML,1,599
2341,DCL,1,599
2342,TDL,0,599
2343,ALTER TABLE,1,600
2344,UPDATE TABLE,0,600
2345,MODIFY TABLE,0,600
2346,CHANGE TABLE,0,600
2347,"True, True",0,601
2348,"True, False",1,601
2349,"False, True",0,601
2350,"False, False",0,601
2351,True,1,602
2352,False,0,602
2353,"10 20",0,603
2354,"10 20 30",1,603
2355,Error: invalid syntax,0,603
2356,It acts as a comment.,0,604
